旅客列车梯形密度表（ 日均 ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,14:13,53,13,12,13,52,10,35,6, ,194,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,15:32,85,25,37,18,72,45,34,12,63,391,,,,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,272,64,95,66,218,65,78,18,63,939,,,,,,,,,,,,,,,,,,,,,,,,,,
G05 ZD242—ZD190-01 开行 1 天 日均定员： 556 客座率： 50.2 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD242,ZD021,ZD111-03,ZD111-01,ZD326,ZD192,ZD250,下车人数合计,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,13:52,14:24,15:28,15:47,16:31,16:52,17:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD242,, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD021,14:22,42, ,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-03,15:09,2,7,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-01,15:45,40,20,9, ,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD326,16:29,37,3,20,44, ,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD192,16:50,6,5,22,41,5, ,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,17:13,32,5,15,41,15,19, ,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,18:34,93,3,14,42,20,8,23,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,252,43,80,168,40,27,23,633,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06 ZD013—ZD190-01 开行 1 天 日均定员： 1015 客座率： 82.4 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD013,ZD241,ZD021,ZD111-03,ZD111-01,ZD326,ZD250,下车人数合计,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,07:25,08:03,08:30,09:20,09:39,10:22,10:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD013,, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD241,07:59,, ,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD021,08:28,56,22, ,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-03,09:16,14,3,6, ,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-01,09:37,101,28,7,4, ,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD326,10:21,108,15,4,4,35, ,,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,10:58,186,15,6,6,62,31, ,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,12:12,258,70,12,27,188,86,98,739,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,723,153,35,41,285,117,98,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G07 ZD013—ZD190-01 开行 1 天 日均定员： 1015 客座率： 75.4 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD013,ZD241,ZD040,ZD111-03,ZD111-01,ZD326,ZD250,下车人数合计,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,09:27,10:03,10:49,11:16,11:35,12:18,12:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD013,, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD241,10:01,, ,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD040,10:47,27,7, ,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-03,11:13,18,6,1, ,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-01,11:33,162,17,25,4, ,,,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD326,12:17,89,22,15,16,77, ,,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,12:54,128,17,12,12,56,16, ,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,14:08,302,43,30,34,76,26,34,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,726,112,83,66,209,42,34,1272,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G08 ZD013—ZD190-01 开行 1 天 日均定员： 1015 客座率： 81.6 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD013,ZD241,ZD040,ZD111-03,ZD111-01,ZD326,ZD192,ZD250,下车人数合计,,,,,,,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,10:45,11:21,12:13,12:40,12:59,13:43,14:03,14:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD013,, ,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD241,11:19,, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD040,12:05,42,, ,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-03,12:37,24,1,2, ,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-01,12:56,121,13,9,2, ,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD326,13:41,123,16,2,5,29, ,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD192,14:02,97,10,13,10,77,20, ,,227,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,14:24,191,24,6,3,22,8,31, ,285,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,15:39,286,29,9,11,36,9,59,27,466,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,884,93,41,31,164,37,90,27,1367,,,,,,,,,,,,,,,,,,,,,,,,,,,
G09 ZD013—ZD190-01 开行 1 天 日均定员： 1015 客座率： 76.6 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD013,ZD144,ZD040,ZD111-03,ZD111-01,ZD326,ZD022,ZD250,ZD121,下车人数合计,,,,,,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,11:49,12:13,13:12,13:46,14:04,14:47,15:16,15:30,16:07,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD013,, ,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD144,12:11,82, ,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD040,13:10,40,6, ,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-03,13:36,54,1,4, ,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-01,14:02,149,9,16,9, ,,,,,183,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD326,14:46,115,8,4,28,73, ,,,,228,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD022,15:15,17,,,,38,8, ,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,15:28,137,15,6,19,77,52,12, ,,318,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD121,16:06,62,,5,8,72,15,1,9, ,172,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,16:50,145,24,12,25,102,63,11,67,5,454,,,,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,801,63,47,89,362,138,24,76,5,1605,,,,,,,,,,,,,,,,,,,,,,,,,,
G10 ZD013—ZD190-01 开行 1 天 日均定员： 1112 客座率： 51.9 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD013,ZD144,ZD021,ZD040,ZD111-03,ZD111-01,ZD326,ZD250,下车人数合计,,,,,,,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,12:42,12:55,13:35,14:04,14:27,14:45,15:29,16:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD013,, ,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD144,12:53,124, ,,,,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD021,13:33,138,25, ,,,,,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD040,14:02,21,3,2, ,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-03,14:25,26,6,1,6, ,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-01,14:39,89,2,6,14,9, ,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD326,15:28,76,5,7,4,31,108, ,,231,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,16:04,82,3,6,9,28,152,42, ,322,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,17:20,109,4,7,16,21,178,42,59,436,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,665,48,29,49,89,438,84,59,1461,,,,,,,,,,,,,,,,,,,,,,,,,,,
G11 ZD013—ZD190-01 开行 1 天 日均定员： 1112 客座率： 23.5 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD013,ZD021,ZD040,ZD111-03,ZD111-01,ZD326,ZD250,下车人数合计,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,12:47,13:40,14:09,14:38,14:58,15:41,16:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD013,, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD021,13:38,78, ,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD040,14:07,16,3, ,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-03,14:33,18,2,, ,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-01,14:54,56,3,2,11, ,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD326,15:40,24,,,10,38, ,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,16:17,58,4,7,12,51,17, ,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,17:39,60,6,5,9,48,15,16,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,310,18,14,42,137,32,16,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G12 ZD013—ZD190-01 开行 1 天 日均定员： 1112 客座率： 62.4 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD013,ZD144,ZD040,ZD111-03,ZD111-01,ZD326,ZD250,ZD062,下车人数合计,,,,,,,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,13:18,13:41,14:40,15:06,15:24,16:08,16:44,17:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD013,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD144,13:39,113, ,,,,,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD040,14:38,56,5, ,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-03,15:04,33,3,1, ,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-01,15:22,138,13,21,10, ,,,,182,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD326,16:07,109,6,15,16,43, ,,,189,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,16:43,107,8,15,23,71,37, ,,261,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD062,17:12,68,2,2,1,81,27,115, ,296,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,18:03,158,3,6,28,73,29,47,71,415,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,784,40,60,78,268,93,162,71,1556,,,,,,,,,,,,,,,,,,,,,,,,,,,
G13 ZD013—ZD190-01 开行 1 天 日均定员： 1005 客座率： 71.4 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD013,ZD144,ZD040,ZD111-03,ZD111-01,ZD326,ZD250,ZD062,下车人数合计,,,,,,,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,14:20,14:46,15:40,16:10,16:30,17:13,17:51,18:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD013,, ,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD144,14:42,63, ,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD040,15:33,87,2, ,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-03,16:04,31,7,10, ,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-01,16:27,162,3,38,4, ,,,,207,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD326,17:12,101,6,13,7,90, ,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,17:49,113,4,10,8,86,36, ,,257,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD062,18:18,32,,3,2,30,10,59, ,136,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,19:10,191,9,26,13,138,25,46,23,471,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,780,31,100,34,344,71,105,23,1488,,,,,,,,,,,,,,,,,,,,,,,,,,,
G14 ZD013—ZD190-01 开行 1 天 日均定员： 1112 客座率： 39.6 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD013,ZD144,ZD241,ZD040,ZD111-03,ZD111-01,ZD326,ZD192,ZD250,下车人数合计,,,,,,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,14:46,15:09,15:34,16:20,16:47,17:05,17:49,18:08,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD013,, ,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD144,15:07,78, ,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD241,15:27,,, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD040,16:18,34,5,17, ,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-03,16:44,22,3,12,9, ,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-01,17:03,94,2,16,26,2, ,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD326,17:48,56,4,30,3,20,32, ,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD192,18:07,68,4,2,4,5,22,1, ,,106,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,18:29,36,1,33,4,7,38,6,8, ,133,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,19:44,92,4,20,6,9,53,10,6,12,212,,,,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,480,23,130,52,43,145,17,14,12,916,,,,,,,,,,,,,,,,,,,,,,,,,,
G15 ZD013—ZD190-01 开行 1 天 日均定员： 1005 客座率： 42.7 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD013,ZD021,ZD040,ZD111-03,ZD111-01,ZD326,ZD250,下车人数合计,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,15:46,17:03,17:32,17:58,18:19,19:06,19:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD013,, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD021,17:00,36, ,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD040,17:30,26,, ,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-03,17:56,14,1,2, ,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-01,18:15,127,8,10,3, ,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD326,19:01,70,2,2,3,16, ,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,19:42,68,2,4,2,41,7, ,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,20:58,161,2,11,18,64,15,5,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,502,15,29,26,121,22,5,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G16 ZD013—ZD190-01 开行 1 天 日均定员： 1112 客座率： 29.3 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD013,ZD241,ZD040,ZD111-03,ZD111-01,ZD326,ZD192,ZD250,下车人数合计,,,,,,,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,16:42,17:18,18:04,18:30,18:49,19:33,19:54,20:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD013,, ,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD241,17:16,, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD040,18:02,39,5, ,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-03,18:28,26,18,4, ,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-01,18:47,97,11,21,3, ,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD326,19:31,53,11,4,4,20, ,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD192,19:52,30,1,,5,10,8, ,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,20:15,46,6,2,6,22,2,2, ,86,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,21:31,67,21,8,9,35,5,3,6,154,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,358,73,39,27,87,15,5,6,610,,,,,,,,,,,,,,,,,,,,,,,,,,,
G17 ZD013—ZD190-01 开行 1 天 日均定员： 1112 客座率： 48.9 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD013,ZD040,ZD111-03,ZD111-01,ZD326,ZD192,ZD250,下车人数合计,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,17:25,18:48,19:15,19:36,20:19,20:39,21:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD013,, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD040,18:45,117, ,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-03,19:12,89,12, ,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-01,19:32,180,5,9, ,,,,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD326,20:18,112,3,17,58, ,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD192,20:38,29,,1,15,2, ,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,21:00,104,,6,61,4,2, ,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,22:16,121,4,11,39,10,,5,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,752,24,44,173,16,2,5,1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K15 ZD230—ZD190-01 开行 1 天 日均定员： 1149 客座率： 65.4 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD230,ZD295,ZD218,ZD277,ZD086,ZD039,ZD111-02,ZD326,ZD192,ZD250,ZD062,下车人数合计,,,,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,21:48,22:56,00:22,01:18,02:00,03:20,05:23,06:28,06:57,07:43,08:28,,,,,,,,,,,,,,,,,,,,,,,,,
ZD230,21:48, ,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,
ZD295,22:53,10, ,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,
ZD218,00:06,2,, ,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
ZD277,01:14,1,,3, ,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
ZD086,01:55,2,,,, ,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
ZD039,03:11,4,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-02,05:13,161,12,15,1,3,5, ,,,,,197,,,,,,,,,,,,,,,,,,,,,,,,
ZD326,06:25,138,7,21,,1,5,5, ,,,,177,,,,,,,,,,,,,,,,,,,,,,,,
ZD192,06:54,33,2,15,,,1,11,9, ,,,71,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,07:29,81,5,18,,1,5,5,14,22, ,,151,,,,,,,,,,,,,,,,,,,,,,,,
ZD062,08:26,10,2,4,,1,,1,1,1,51, ,71,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,09:42,225,12,159,4,9,20,3,7,7,21,48,515,,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,667,40,235,5,15,36,25,31,30,72,48,1204,,,,,,,,,,,,,,,,,,,,,,,,
K12 ZD007—ZD190-01 开行 1 天 日均定员： 1148 客座率： 52.4 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD007,ZD008,ZD199,ZD090,ZD091,ZD110,ZD053,ZD034,ZD310,ZD290,ZD100,ZD197,ZD225,ZD086,ZD150,ZD111-02,ZD326,ZD250,ZD120,下车人数合计,,,,,,,,,,,,,,,,
下车站,开/到点,09:51,10:10,10:59,12:24,12:42,14:10,15:12,16:04,18:33,18:55,22:33,23:58,00:27,01:37,03:54,05:46,07:01,08:04,09:12,,,,,,,,,,,,,,,,,
ZD007,09:51, ,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,
ZD008,10:06,2, ,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
ZD199,10:57,34,12,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,
ZD090,12:18,175,86,32, ,,,,,,,,,,,,,,,,293,,,,,,,,,,,,,,,,
ZD091,12:34,18,8,3,4, ,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,
ZD110,14:04,69,30,8,87,10, ,,,,,,,,,,,,,,204,,,,,,,,,,,,,,,,
ZD053,15:10,37,27,8,99,40,27, ,,,,,,,,,,,,,238,,,,,,,,,,,,,,,,
ZD034,15:55,31,11,3,61,14,103,23, ,,,,,,,,,,,,246,,,,,,,,,,,,,,,,
ZD310,18:27,1,1,1,1,2,,1,29, ,,,,,,,,,,,36,,,,,,,,,,,,,,,,
ZD290,18:53,,1,,4,,,,4,2, ,,,,,,,,,,11,,,,,,,,,,,,,,,,
ZD100,22:28,,,,,,,1,3,2,5, ,,,,,,,,,11,,,,,,,,,,,,,,,,
ZD197,23:51,7,,,10,,3,1,2,33,,3, ,,,,,,,,59,,,,,,,,,,,,,,,,
ZD225,00:25,2,,,,,3,,10,13,1,8,, ,,,,,,,37,,,,,,,,,,,,,,,,
ZD086,01:25,7,3,,4,2,,,6,74,4,3,,1, ,,,,,,104,,,,,,,,,,,,,,,,
ZD150,03:36,5,5,3,14,4,,1,5,7,,3,,,, ,,,,,47,,,,,,,,,,,,,,,,
ZD111-02,05:40,20,5,6,86,6,12,8,34,38,4,1,10,4,1,23, ,,,,258,,,,,,,,,,,,,,,,
ZD326,06:55,12,4,,19,1,2,3,19,5,3,1,3,3,1,6,3, ,,,85,,,,,,,,,,,,,,,,
ZD250,08:01,21,4,1,21,1,6,4,20,6,6,5,2,12,2,6,4,6, ,,127,,,,,,,,,,,,,,,,
ZD120,09:08,2,,,,,4,,,2,,,6,,,,2,4,13, ,33,,,,,,,,,,,,,,,,
ZD190-01,10:20,18,5,2,26,6,6,1,14,15,6,2,9,5,5,30,4,10,3,127,294,,,,,,,,,,,,,,,,
上车人数合计,,461,202,67,436,86,166,43,146,197,29,26,30,25,9,65,13,20,16,127,2164,,,,,,,,,,,,,,,,
K04 ZD273—ZD190-02 开行 1 天 日均定员： 1194 客座率： 48.0 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD273,ZD307,ZD228,ZD002,ZD078,ZD276,ZD095,ZD068,ZD281,ZD325,ZD161,ZD322,ZD275,ZD213,ZD123,ZD058,ZD253,ZD097,ZD286,ZD309,ZD238,ZD292,ZD233,ZD111-01,ZD326,ZD192,ZD250,ZD062,下车人数合计,,,,,,,
下车站,开/到点,12:50,13:35,15:25,16:07,17:58,18:49,19:14,19:48,20:40,21:45,22:57,00:09,00:42,01:08,01:39,02:59,04:00,05:03,06:35,07:26,07:51,08:36,09:35,11:15,12:48,13:27,14:01,15:32,,,,,,,,
ZD273,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,
ZD307,13:32,30, ,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,
ZD228,15:22,6,1, ,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,
ZD002,16:05,3,2,6, ,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,
ZD078,17:31,44,16,118,95, ,,,,,,,,,,,,,,,,,,,,,,,,273,,,,,,,
ZD276,18:45,4,1,4,,48, ,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,
ZD095,19:10,,,,,22,4, ,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,
ZD068,19:45,,,,,27,2,, ,,,,,,,,,,,,,,,,,,,,,29,,,,,,,
ZD281,20:35,19,3,,,24,,,, ,,,,,,,,,,,,,,,,,,,,46,,,,,,,
ZD325,21:42,,,,,,,,,, ,,,,,,,,,,,,,,,,,,, ,,,,,,,
ZD161,22:34,3,,,4,3,,1,,6,3, ,,,,,,,,,,,,,,,,,,20,,,,,,,
